Timestamp:2024-08-07 06:40:13.349 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:8aeb1a57412248e224d6e1a3e8263826
Timestamp:2024-08-07 06:40:13.891 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:2f3ae1b5f86bc6e6e6cb2db0d2296e64
Timestamp:2024-08-07 06:40:13.891 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:2f3ae1b5f86bc6e6e6cb2db0d2296e64
Timestamp:2024-08-07 06:40:14.173 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:96f703de213087b487e5e0cb6d25cef9
Timestamp:2024-08-07 06:40:14.173 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:96f703de213087b487e5e0cb6d25cef9
Timestamp:2024-08-07 06:40:14.695 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:4e6b34e53f1db5c73165d71e78b3cab4
Timestamp:2024-08-07 06:40:14.695 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:4e6b34e53f1db5c73165d71e78b3cab4
Timestamp:2024-08-07 06:40:14.942 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:9c93eb475969565e71d0d4cdcc238b94
Timestamp:2024-08-07 06:40:14.942 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:9c93eb475969565e71d0d4cdcc238b94
Timestamp:2024-08-07 06:40:15.122 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:78015e1b0a76b35e05a892924d04ab83
Timestamp:2024-08-07 06:40:15.122 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:78015e1b0a76b35e05a892924d04ab83
Timestamp:2024-08-07 06:40:15.34 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:16388c1ea8bceafc8dbfabffc2e3fe78
Timestamp:2024-08-07 06:40:15.34 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:16388c1ea8bceafc8dbfabffc2e3fe78
Timestamp:2024-08-07 06:40:15.554 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:010bfe943f3a08176e3dcbeb273feef5
Timestamp:2024-08-07 06:40:15.554 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:010bfe943f3a08176e3dcbeb273feef5
Timestamp:2024-08-07 06:40:15.817 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:1563be971f41d6b85f683e4f1962f0b2
Timestamp:2024-08-07 06:40:15.818 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:1563be971f41d6b85f683e4f1962f0b2
Timestamp:2024-08-07 06:42:48.604 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:154fe5408dd34636eddb9e59c1a2b221
Timestamp:2024-08-07 06:42:48.604 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:154fe5408dd34636eddb9e59c1a2b221
Timestamp:2024-08-07 06:42:49.476 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:86780ec0aba240f3b95ec82add22c003
Timestamp:2024-08-07 06:42:49.476 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:86780ec0aba240f3b95ec82add22c003
Timestamp:2024-08-07 06:42:57.521 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:da29c40b7210c9b3b90b69443e703db2
Timestamp:2024-08-07 06:42:57.521 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:da29c40b7210c9b3b90b69443e703db2
Timestamp:2024-08-07 06:42:59.145 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:3bc56d8453cf071df6e936f25c175447
Timestamp:2024-08-07 06:42:59.145 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:3bc56d8453cf071df6e936f25c175447
